hotel_address,average_score,standard_deviation,skew,number_of_reviews,name,city,latitude,longitude
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,7.8362962963,1.89651611576,-0.793030063276,405,Hotel Arena,Amsterdam,52.3605759,4.9159683
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8.60282685512,1.41742348643,-1.16694147892,566,K K Hotel George,London,51.4918878,-0.1949706
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,9.29855212355,0.92421416061,-2.20599086479,1036,Apex Temple Court Hotel,London,51.5137335,-0.1087512
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,7.71146892655,1.87601522254,-0.6729769811,1770,The Park Grand London Paddington,London,51.5142184,-0.1809032
1 3 Rue d Argentine 16th arr 75116 Paris France,8.84857142857,1.05895937504,-1.31681243275,35,Monhotel Lounge SPA,Paris,48.8743481,2.2897334
1 5 Passage Ruelle 18th arr 75018 Paris France,5.85263157895,2.26724708771,0.0702058713885,19,Kube Hotel Ice Bar,Paris,48.88657,2.3588332
1 8 Russell Square Camden London WC1B 5BE United Kingdom,8.02933333333,1.63193073997,-0.803740032553,1425,The Principal London,London,51.5226217,-0.1251602
1 Addington Street Lambeth London SE1 7RY United Kingdom,8.3697569757,1.6165771797,-1.0985608706,2222,Park Plaza County Hall London,London,51.5014001,-0.1160092
1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,9.14485294118,1.024935037,-1.84624387125,136,One Aldwych,London,51.5117832,-0.1194172
1 Avenue Carnot 17th arr 75017 Paris France,9.14251968504,1.1208358336,-1.87451865211,127,Splendid Etoile,Paris,48.874707,2.2936761
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,8.32811059908,1.51376175615,-1.12719012911,217,Hotel Trianon Rive Gauche,Paris,48.8487675,2.3410376
1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,8.2925,1.66708988337,-1.01877175607,160,InterContinental London Park Lane,London,51.5038632,-0.1504132
1 Impasse Marteau 18th arr 75018 Paris France,7.02944444444,1.87761578349,-0.410007645826,180,Novotel Suites Paris Nord 18 me,Paris,48.9015941,2.3597783
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,7.61561866126,1.8642933219,-0.625374666719,2958,Grand Royale London Hyde Park,London,51.5109945,-0.1863417
