name,hotel_address,city,latitude,longitude
London Bridge Hotel,8 18 London Bridge St Southwark London SE1 9SG United Kingdom,London,51.5052188,-0.088166
Grange Langham Court Hotel,31 35 Langham Street Westminster Borough London W1W 6BU United Kingdom,London,51.5189077,-0.1421957
H tel L Echiquier Op ra Paris MGallery by Sofitel,38 rue de l Echiquier 10th arr 75010 Paris France,Paris,48.8719889,2.3492913
Boscolo Milano Autograph Collection,Corso Giacomo Matteotti 4 6 Milan City Center 20121 Milan Italy,Milan,45.46676,9.194293
Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,London,51.5166755,-0.0697897
Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,Barcelona,41.3894195,2.1564886
Mercure London Hyde Park,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS United Kingdom,London,51.5151149,-0.1743857
Pol Grace Hotel,Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,Barcelona,41.4017465,2.1477365
Wilson Boutique Hotel,Avenida Diagonal 568 Sarri St Gervasi 08021 Barcelona Spain,Barcelona,41.3944029,2.150194
The Arch London,50 Great Cumberland Place Westminster Borough London W1H 7FD United Kingdom,London,51.5159214,-0.1598794
Montagu Place Hotel,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,London,51.5191009,-0.1592
Washington Mayfair Hotel,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,London,51.5060237,-0.151078
Hotel Mercure Milano Centro,Piazza Oberdan 12 Milan City Center 20129 Milan Italy,Milan,45.4747809,9.2059385
art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,Amsterdam,52.377743,4.897057
every hotel Piccadilly,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,London,51.5101462,-0.1315061
Mercure Hotel Raphael Wien,Wallgasse 23 06 Mariahilf 1060 Vienna Austria,Vienna,48.1919288,16.3391395
Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,London,51.5184158,-0.1348509
Tryp Barcelona Apolo Hotel,Avenida Paralelo 57 59 Sants Montju c 08004 Barcelona Spain,Barcelona,41.3747031,2.1707106
Grosvenor House Suites by Jumeirah Living,86 Park Lane Westminster Borough London W1K 7TN United Kingdom,London,51.509841,-0.1552193
Worldhotel Cristoforo Colombo,Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,Milan,45.4758842,9.205791
La Suite West Hyde Park,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,London,51.5126758,-0.1867828
Sunotel Club Central,Valencia 157 Eixample 08011 Barcelona Spain,Barcelona,41.38793,2.1568061
St George s Hotel Wembley,43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,London,51.5553678,-0.2864945
Residence Du Roy,8 Rue Francois 1Er 8th arr 75008 Paris France,Paris,48.8657687,2.3090386
Hotel J ger,Hernalser Hauptstra e 187 17 Hernals 1170 Vienna Austria,Vienna,48.2238463,16.3138357
Ca Bianca Hotel Corte Del Naviglio,Via Lodovico Il Moro 117 Navigli 20143 Milan Italy,Milan,45.443502,9.1377081
Select Hotel,1 Place De La Sorbonne 5th arr 75005 Paris France,Paris,48.8483053,2.3425596
Antares Hotel Accademia,Viale Certosa 68 Certosa 20155 Milan Italy,Milan,45.4921089,9.1476806
Le Belmont Champs Elys es,30 Rue de Bassano 16th arr 75016 Paris France,Paris,48.8691984,2.2979052
W Paris Op ra,Place de l Op ra 4 rue Meyerbeer 9th arr 75009 Paris France,Paris,48.8719697,2.3316014
Mandarin Oriental Paris,251 rue Saint Honor 1st arr 75001 Paris France,Paris,48.8671889,2.326927
NH Barcelona Stadium,Travessera de les Corts 150 152 Les Corts 08028 Barcelona Spain,Barcelona,41.3812574,2.1269078
